一级分类,sales_amount,gross_profit,avg_margin_rate,median_margin_rate,sku_count,realized_margin_rate
供应链,4390.0,243.0,0.42775178253119434,0.16102941176470598,8,0.05535307517084283
冻品肉类,533720.98,57684.53,0.09733814762781015,0.0819672131147541,191,0.10807993719864638
干杂,45089.13,3554.23,0.10093911356307823,0.0897583429228999,54,0.07882675935419468
新鲜水果,39336.32,6361.461,0.15430760109695937,0.1607924352266425,20,0.16171977958283845
海鲜水产,607.88,75.152,0.332868768947819,0.332868768947819,2,0.12362966374942423
米面粮油,12959.23,943.51,0.09897094627777403,0.0650197289414994,25,0.0728060231973659
自用品,705.0,434.7,0.5075136937366038,0.469909502262443,3,0.6165957446808511
蔬果豆制,216436.078,29125.586000000032,0.1623586202985651,0.16022356776898,165,0.13456899731846014
调味品,21058.53,3060.99,0.15492663293765296,0.125,83,0.1453562997987039
酒水饮料,17946.25,1041.37,0.024531545225533937,0.061435758513931904,32,0.0580271644493975
餐厨百货,29630.06,4872.22,0.1722866694669683,0.130434782608696,77,0.16443503658109365
鲜肉蛋,19240.39,2113.358,0.11870474194363813,0.100149476831091,27,0.1098396654121876
